date,fund_house,aum_lakh_crore,aum_crore,num_schemes
2022-03-31,SBI Mutual Fund,6.05,605000,186
2022-03-31,ICICI Prudential MF,4.65,465000,216
2022-03-31,HDFC Mutual Fund,4.35,435000,195
2022-03-31,Nippon India MF,2.7,270000,177
2022-03-31,Kotak Mahindra MF,2.7,270000,168
2022-03-31,Aditya Birla Sun Life MF,2.78,278000,199
2022-03-31,Axis Mutual Fund,2.5,250000,95
2022-03-31,UTI Mutual Fund,2.3,230000,142
2022-03-31,Mirae Asset MF,1.05,105000,56
2022-03-31,DSP Mutual Fund,1.1,110000,88
2022-09-30,SBI Mutual Fund,6.3,630000,186
2022-09-30,ICICI Prudential MF,4.88,488000,216
2022-09-30,HDFC Mutual Fund,4.45,445000,195
2022-09-30,Nippon India MF,2.78,278000,177
2022-09-30,Kotak Mahindra MF,2.72,272000,168
2022-09-30,Aditya Birla Sun Life MF,2.85,285000,199
2022-09-30,Axis Mutual Fund,2.4,240000,95
2022-09-30,UTI Mutual Fund,2.32,232000,142
2022-09-30,Mirae Asset MF,1.08,108000,56
2022-09-30,DSP Mutual Fund,1.12,112000,88
2023-03-31,SBI Mutual Fund,7.17,717000,186
2023-03-31,ICICI Prudential MF,5.0,500000,216
2023-03-31,HDFC Mutual Fund,4.5,450000,195
2023-03-31,Nippon India MF,2.93,293000,177
2023-03-31,Kotak Mahindra MF,2.89,289000,168
2023-03-31,Aditya Birla Sun Life MF,2.75,275000,199
2023-03-31,Axis Mutual Fund,2.41,241000,95
2023-03-31,UTI Mutual Fund,2.39,239000,142
2023-03-31,Mirae Asset MF,1.16,116000,56
2023-03-31,DSP Mutual Fund,1.15,115000,88
2023-09-30,SBI Mutual Fund,8.45,845000,186
2023-09-30,ICICI Prudential MF,5.9,590000,216
2023-09-30,HDFC Mutual Fund,5.35,535000,195
2023-09-30,Nippon India MF,3.4,340000,177
2023-09-30,Kotak Mahindra MF,3.25,325000,168
2023-09-30,Aditya Birla Sun Life MF,3.08,308000,199
2023-09-30,Axis Mutual Fund,2.6,260000,95
2023-09-30,UTI Mutual Fund,2.65,265000,142
2023-09-30,Mirae Asset MF,1.42,142000,56
2023-09-30,DSP Mutual Fund,1.32,132000,88
2024-03-31,SBI Mutual Fund,10.0,1000000,186
2024-03-31,ICICI Prudential MF,6.8,680000,216
2024-03-31,HDFC Mutual Fund,6.45,645000,195
2024-03-31,Nippon India MF,4.3,430000,177
2024-03-31,Kotak Mahindra MF,3.8,380000,168
2024-03-31,Aditya Birla Sun Life MF,3.4,340000,199
2024-03-31,Axis Mutual Fund,2.8,280000,95
2024-03-31,UTI Mutual Fund,2.9,290000,142
2024-03-31,Mirae Asset MF,1.75,175000,56
2024-03-31,DSP Mutual Fund,1.55,155000,88
2024-09-30,SBI Mutual Fund,10.8,1080000,186
2024-09-30,ICICI Prudential MF,7.42,742000,216
2024-09-30,HDFC Mutual Fund,7.1,710000,195
2024-09-30,Nippon India MF,4.68,468000,177
2024-09-30,Kotak Mahindra MF,4.05,405000,168
2024-09-30,Aditya Birla Sun Life MF,3.62,362000,199
2024-09-30,Axis Mutual Fund,2.9,290000,95
2024-09-30,UTI Mutual Fund,3.08,308000,142
2024-09-30,Mirae Asset MF,1.9,190000,56
2024-09-30,DSP Mutual Fund,1.72,172000,88
2024-12-31,SBI Mutual Fund,11.14,1114000,186
2024-12-31,ICICI Prudential MF,8.74,874000,216
2024-12-31,HDFC Mutual Fund,7.87,787000,195
2024-12-31,Nippon India MF,5.7,570000,177
2024-12-31,Kotak Mahindra MF,4.89,489000,168
2024-12-31,Aditya Birla Sun Life MF,3.84,384000,199
2024-12-31,Axis Mutual Fund,3.0,300000,95
2024-12-31,UTI Mutual Fund,3.52,352000,142
2024-12-31,Mirae Asset MF,2.1,210000,56
2024-12-31,DSP Mutual Fund,1.88,188000,88
2025-03-31,SBI Mutual Fund,12.5,1250000,186
2025-03-31,ICICI Prudential MF,8.8,880000,216
2025-03-31,HDFC Mutual Fund,7.95,795000,195
2025-03-31,Nippon India MF,5.6,560000,177
2025-03-31,Kotak Mahindra MF,4.92,492000,168
2025-03-31,Aditya Birla Sun Life MF,3.85,385000,199
2025-03-31,Axis Mutual Fund,3.1,310000,95
2025-03-31,UTI Mutual Fund,3.55,355000,142
2025-03-31,Mirae Asset MF,2.25,225000,56
2025-03-31,DSP Mutual Fund,1.95,195000,88
2025-12-31,SBI Mutual Fund,12.5,1250000,186
2025-12-31,ICICI Prudential MF,10.74,1074000,216
2025-12-31,HDFC Mutual Fund,9.3,930000,195
2025-12-31,Nippon India MF,7.0,700000,177
2025-12-31,Kotak Mahindra MF,5.8,580000,168
2025-12-31,Aditya Birla Sun Life MF,4.6,460000,199
2025-12-31,Axis Mutual Fund,3.5,350000,95
2025-12-31,UTI Mutual Fund,4.1,410000,142
2025-12-31,Mirae Asset MF,2.9,290000,56
2025-12-31,DSP Mutual Fund,2.3,230000,88
