month,category,net_inflow_crore
2024-04,Large Cap,2413.0
2024-04,Mid Cap,3897.0
2024-04,Small Cap,3533.0
2024-04,Flexi Cap,4947.0
2024-04,Large & Mid Cap,4214.0
2024-04,ELSS,466.0
2024-04,Value/Contra,1328.0
2024-04,Sectoral/Thematic,8052.0
2024-04,Liquid,37537.0
2024-04,Short Duration,4400.0
2024-04,Gilt,784.0
2024-04,Hybrid,2955.0
2024-05,Large Cap,2076.0
2024-05,Mid Cap,5300.0
2024-05,Small Cap,4092.0
2024-05,Flexi Cap,5529.0
2024-05,Large & Mid Cap,4368.0
2024-05,ELSS,553.0
2024-05,Value/Contra,1361.0
2024-05,Sectoral/Thematic,8354.0
2024-05,Liquid,41872.0
2024-05,Short Duration,4833.0
2024-05,Gilt,836.0
2024-05,Hybrid,3487.0
2024-06,Large Cap,2519.0
2024-06,Mid Cap,5047.0
2024-06,Small Cap,3535.0
2024-06,Flexi Cap,4478.0
2024-06,Large & Mid Cap,4610.0
2024-06,ELSS,472.0
2024-06,Value/Contra,1386.0
2024-06,Sectoral/Thematic,10030.0
2024-06,Liquid,40486.0
2024-06,Short Duration,4321.0
2024-06,Gilt,864.0
2024-06,Hybrid,3163.0
2024-07,Large Cap,2574.0
2024-07,Mid Cap,4548.0
2024-07,Small Cap,3582.0
2024-07,Flexi Cap,4869.0
2024-07,Large & Mid Cap,5023.0
2024-07,ELSS,471.0
2024-07,Value/Contra,1582.0
2024-07,Sectoral/Thematic,9896.0
2024-07,Liquid,34643.0
2024-07,Short Duration,4170.0
2024-07,Gilt,959.0
2024-07,Hybrid,3291.0
2024-08,Large Cap,1940.0
2024-08,Mid Cap,3899.0
2024-08,Small Cap,3376.0
2024-08,Flexi Cap,5562.0
2024-08,Large & Mid Cap,5411.0
2024-08,ELSS,499.0
2024-08,Value/Contra,1308.0
2024-08,Sectoral/Thematic,8360.0
2024-08,Liquid,41952.0
2024-08,Short Duration,4658.0
2024-08,Gilt,952.0
2024-08,Hybrid,3684.0
2024-09,Large Cap,1879.0
2024-09,Mid Cap,4960.0
2024-09,Small Cap,4137.0
2024-09,Flexi Cap,5397.0
2024-09,Large & Mid Cap,4528.0
2024-09,ELSS,537.0
2024-09,Value/Contra,1334.0
2024-09,Sectoral/Thematic,8518.0
2024-09,Liquid,35308.0
2024-09,Short Duration,5327.0
2024-09,Gilt,925.0
2024-09,Hybrid,3015.0
2024-10,Large Cap,2255.0
2024-10,Mid Cap,4106.0
2024-10,Small Cap,4444.0
2024-10,Flexi Cap,6004.0
2024-10,Large & Mid Cap,4581.0
2024-10,ELSS,537.0
2024-10,Value/Contra,1595.0
2024-10,Sectoral/Thematic,7680.0
2024-10,Liquid,39091.0
2024-10,Short Duration,4675.0
2024-10,Gilt,898.0
2024-10,Hybrid,3314.0
2024-11,Large Cap,1870.0
2024-11,Mid Cap,4336.0
2024-11,Small Cap,3256.0
2024-11,Flexi Cap,6111.0
2024-11,Large & Mid Cap,5556.0
2024-11,ELSS,571.0
2024-11,Value/Contra,1436.0
2024-11,Sectoral/Thematic,7397.0
2024-11,Liquid,40506.0
2024-11,Short Duration,5316.0
2024-11,Gilt,704.0
2024-11,Hybrid,3264.0
2024-12,Large Cap,1923.0
2024-12,Mid Cap,5023.0
2024-12,Small Cap,4249.0
2024-12,Flexi Cap,4654.0
2024-12,Large & Mid Cap,4878.0
2024-12,ELSS,521.0
2024-12,Value/Contra,1414.0
2024-12,Sectoral/Thematic,9820.0
2024-12,Liquid,34933.0
2024-12,Short Duration,4159.0
2024-12,Gilt,831.0
2024-12,Hybrid,3538.0
2025-01,Large Cap,2025.0
2025-01,Mid Cap,4316.0
2025-01,Small Cap,4554.0
2025-01,Flexi Cap,5603.0
2025-01,Large & Mid Cap,4816.0
2025-01,ELSS,516.0
2025-01,Value/Contra,1339.0
2025-01,Sectoral/Thematic,7893.0
2025-01,Liquid,33892.0
2025-01,Short Duration,4752.0
2025-01,Gilt,744.0
2025-01,Hybrid,2967.0
2025-02,Large Cap,1925.0
2025-02,Mid Cap,4819.0
2025-02,Small Cap,3534.0
2025-02,Flexi Cap,6068.0
2025-02,Large & Mid Cap,5524.0
2025-02,ELSS,437.0
2025-02,Value/Contra,1400.0
2025-02,Sectoral/Thematic,9215.0
2025-02,Liquid,32374.0
2025-02,Short Duration,4033.0
2025-02,Gilt,942.0
2025-02,Hybrid,3360.0
2025-03,Large Cap,2234.0
2025-03,Mid Cap,5061.0
2025-03,Small Cap,4304.0
2025-03,Flexi Cap,4767.0
2025-03,Large & Mid Cap,4243.0
2025-03,ELSS,500.0
2025-03,Value/Contra,1497.0
2025-03,Sectoral/Thematic,8614.0
2025-03,Liquid,38681.0
2025-03,Short Duration,4886.0
2025-03,Gilt,956.0
2025-03,Hybrid,2830.0
