,Alpha,Beta
100016,-0.10246036230732891,0.7891275285481303
100025,-0.023163793358365124,0.06076593476932987
100033,0.11383283933724189,0.9924532812836664
101206,0.08160010030862022,0.7376570741383978
101207,-0.2382984483767055,2.880691203926341
101208,0.0009707410624644336,-0.0010207223650861962
102885,0.04880647668653189,0.6168291057098811
102886,-0.12166972120458586,0.9022266314990908
102887,0.01656885359480484,0.8690428049254725
118632,0.057737829488869824,1.0128662256748737
118633,0.026078327600073475,0.6991437087410644
118634,-0.10401758489284668,2.243969220490703
118635,0.029291416326184774,0.6263872453550304
118636,-0.01908202400613647,0.09965578992674473
119092,-0.10557742298079204,1.1600309323262468
119093,-0.07736716865231039,1.0148094229843476
119094,0.04798982923178022,1.5222213043219197
119095,-0.2331641066577431,2.212774902406028
119120,-0.01240034768328923,0.08494781223111109
119551,0.11524034235645303,0.5634212357640217
119552,0.05317732516326018,0.8553776446278286
119598,-0.0008970590166852976,2.4595093995273754
119599,-0.21142091269897634,2.0414308472052487
120503,0.02413669172374211,0.9255976888606737
120504,0.0923338012029658,0.6070574931110946
120505,0.11423307800968235,1.195855543707199
120506,0.013234021722028588,0.9148551060029654
120507,0.008016566234613338,-0.005737193220976237
120841,0.0026472852813889114,0.695789243134543
120842,-0.0880145327708877,1.076641680234892
120843,0.10667744502821891,1.0696768191223258
120844,0.0056020882647689965,-0.010680563537114022
125497,0.028377802506667466,0.9131208886259256
125498,-0.0761144832031697,1.376258684975956
148567,0.15534792115371374,0.5576193524936547
148568,0.06759725274441294,0.8111176478924123
148569,0.10684683535429382,1.175609483989027
149322,-0.022422070463743143,0.9495512681843185
149323,0.0948556797264064,1.1214584221107993
149324,0.021419138224245793,2.216733105869449
