amfi_code,Max_Drawdown
100016,-0.24734440880673306
100025,-0.04308263824636326
100033,-0.16217208574644837
101206,-0.11291596329323098
101207,-0.35446916493366043
101208,-0.0016224980244715441
102885,-0.10859862152502295
102886,-0.2800112356639297
102887,-0.21285398874796854
118632,-0.17414075086657282
118633,-0.18629743138595561
118634,-0.23344886144833177
118635,-0.11511457598975473
118636,-0.08316361763638586
119092,-0.14401617909337255
119093,-0.21751396370148143
119094,-0.20960883862039206
119095,-0.516777537085266
119120,-0.04328728923970041
119551,-0.1501238549864537
119552,-0.11803493502764328
119598,-0.28706005721764627
119599,-0.5257422117012853
120503,-0.13897862823061596
120504,-0.12588275606922464
120505,-0.18188513572116333
120506,-0.19825658262982698
120507,-0.0009773140045926695
120841,-0.17573614164687393
120842,-0.24003511326274685
120843,-0.1297396816518681
120844,-0.0011629327956168582
125497,-0.15200013055606393
125498,-0.21117279560132163
148567,-0.11265729075028226
148568,-0.15272594228234768
148569,-0.16396742946932696
149322,-0.14111986534883095
149323,-0.17248105753451418
149324,-0.3117190030063417
