amfi_code,Sortino_Ratio
100016,-0.29669640386773055
100025,-0.7816963765812242
100033,2.0148104536383626
101206,1.9527101871070318
101207,0.3196043206048362
101208,0.5150644869642206
102885,1.5635332031079292
102886,-0.3064564776757343
102887,1.1886206876809784
118632,2.026087873524227
118633,1.260067894336695
118634,0.8194994651048882
118635,1.2683444928124485
118636,-0.4189787329041407
119092,0.11737336385552453
119093,0.2905075578363202
119094,1.8689781515914474
119095,-0.09731943248696574
119120,-0.18112028280265102
119551,2.3108817506818564
119552,1.789730724833953
119598,1.7653543265401104
119599,-0.0637030732097667
120503,1.4962583521479476
120504,1.9410748233734199
120505,2.205789199764103
120506,1.218659961367108
120507,5.00670005405773
120841,0.9548154413612163
120842,0.17832077678519814
120843,2.5232282216029627
120844,2.795977448304112
125497,1.4641667783386039
125498,0.5739299559535762
148567,2.6733294409494666
148568,1.751212983556338
148569,2.330293074059466
149322,0.8747328165941604
149323,2.0619569114270164
149324,1.752059698699187
